document,asset_type,number,title_caption,source_csv_json_evidence,generation_script,source_digest,row_count,statistical_unit,axes_legend_meanings,missing_value_representation,claim_ids_supported,placement,binding_status,caption_numbering_status,in_text_reference_before_appearance,orphan_status,visual_status,vector_status
thesis_v10,table,8,주요 CLI와 산출물,docs/manuscript_review_input/석사학위논문_표08_주요_CLI와_산출물.csv,IMPORTED_EDITABLE_CSV; upstream evidence listed in number registry,e02647179030c210c68af524918084c82411f1f9f6ba3ad1c88e119846f1c08b,6,definition/category row,N/A,textual BLOCKED/UNSUPPORTED/NOT_EVALUATED; never numeric zero,table-specific claims in authoritative_number_registry.json,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_OVERFLOW,EDITABLE_CSV_AND_XLSX_BOUND
thesis_v10,table,9,평가 데이터 모델 분할,docs/manuscript_review_input/석사학위논문_표09_평가_데이터_모델_분할.csv,IMPORTED_EDITABLE_CSV; upstream evidence listed in number registry,e261ab46baf815269df29beac1456f753cc1bff1e987a3a4b9b51984728e5b14,6,definition/category row,N/A,textual BLOCKED/UNSUPPORTED/NOT_EVALUATED; never numeric zero,table-specific claims in authoritative_number_registry.json,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_OVERFLOW,EDITABLE_CSV_AND_XLSX_BOUND
thesis_v10,table,10,평가 지표와 통계 단위,docs/manuscript_review_input/석사학위논문_표10_평가_지표와_통계_단위.csv,IMPORTED_EDITABLE_CSV; upstream evidence listed in number registry,095b4bd9db21050210b04084da37b3869a4db8ee3b7c4c5610b0cc0be9c2ed1f,8,definition/category row,N/A,textual BLOCKED/UNSUPPORTED/NOT_EVALUATED; never numeric zero,table-specific claims in authoritative_number_registry.json,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_OVERFLOW,EDITABLE_CSV_AND_XLSX_BOUND
thesis_v10,table,11,통제된 주 실험 결과,docs/manuscript_review_input/석사학위논문_표11_통제된_주_실험_결과.csv,IMPORTED_EDITABLE_CSV; upstream evidence listed in number registry,6d913b56772fb24c3c14c8db494b2027eb59c8278d4a8bcc7c1cb54e7ce47ec9,9,explicitly identified in table; repeats are not unique inputs,N/A,textual BLOCKED/UNSUPPORTED/NOT_EVALUATED; never numeric zero,table-specific claims in authoritative_number_registry.json,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_OVERFLOW,EDITABLE_CSV_AND_XLSX_BOUND
thesis_v10,table,12,Direct 후보 실행 분포,docs/manuscript_review_input/석사학위논문_표12_Direct_후보_실행_분포.csv,IMPORTED_EDITABLE_CSV; upstream evidence listed in number registry,88d9749437de70607038c49eb1329ec0a06f636ef31ad514790c8cd85713680a,3,definition/category row,N/A,textual BLOCKED/UNSUPPORTED/NOT_EVALUATED; never numeric zero,table-specific claims in authoritative_number_registry.json,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_OVERFLOW,EDITABLE_CSV_AND_XLSX_BOUND
thesis_v10,table,13,EVA scale 결과,docs/manuscript_review_input/석사학위논문_표13_EVA_scale_결과.csv,IMPORTED_EDITABLE_CSV; upstream evidence listed in number registry,b93457efa3655bd7f90460cfe49981ae644ffb3abe360c4dd8de103206934a26,5,explicitly identified in table; repeats are not unique inputs,N/A,textual BLOCKED/UNSUPPORTED/NOT_EVALUATED; never numeric zero,table-specific claims in authoritative_number_registry.json,main text,BOUND,PASS_SEQUENTIAL,PASS_EXPLICIT_REFERENCE_BEFORE_CAPTION,NOT_ORPHANED,PASS_NO_CLIPPING_OR_OVERFLOW,EDITABLE_CSV_AND_XLSX_BOUND
thesis_v10,table,14,HEIR common-executor 결과,docs/manuscript_review_input/석사학위논문_표14_HEIR_common-executor_결과.csv,IMPORTED_EDITABLE_CSV; upstream evidence listed in number registry,4705c4d8dc70c19d2bb093b9e4794f6e5784372cb178e48f1c1c3b7ca65e51ca,3,explicitly identified in table; repeats are not unique inputs,N/A,textual BLOCKED/UNSUPPORTED/NOT_EVALUATED; never numeric zero,table-specific claims in authoritative_number_registry.json,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_OVERFLOW,EDITABLE_CSV_AND_XLSX_BOUND
thesis_v10,table,15,Pairwise latency claim,docs/manuscript_review_input/석사학위논문_표15_Pairwise_latency_claim.csv,IMPORTED_EDITABLE_CSV; upstream evidence listed in number registry,fca5844c44860f8a950ffa7989a1ec43da792cfdd830febc9c0a2af0e3aead16,3,explicitly identified in table; repeats are not unique inputs,N/A,textual BLOCKED/UNSUPPORTED/NOT_EVALUATED; never numeric zero,table-specific claims in authoritative_number_registry.json,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_OVERFLOW,EDITABLE_CSV_AND_XLSX_BOUND
thesis_v10,table,16,CoreLab EVA ELASM grid,docs/manuscript_review_input/석사학위논문_표16_CoreLab_EVA_ELASM_grid.csv,IMPORTED_EDITABLE_CSV; upstream evidence listed in number registry,9e79d1d845802bdeb12883dc783265417c0a798eb97763dc58b7ebae24a0088b,2,explicitly identified in table; repeats are not unique inputs,N/A,textual BLOCKED/UNSUPPORTED/NOT_EVALUATED; never numeric zero,table-specific claims in authoritative_number_registry.json,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_OVERFLOW,EDITABLE_CSV_AND_XLSX_BOUND
thesis_v10,table,17,다중 클래스 결과,docs/manuscript_review_input/석사학위논문_표17_다중_클래스_결과.csv,IMPORTED_EDITABLE_CSV; upstream evidence listed in number registry,9f9d7fc8b868b32c39f7775c3c8b2011f14d92e19a9e31686044e3d32ec71d82,2,explicitly identified in table; repeats are not unique inputs,N/A,textual BLOCKED/UNSUPPORTED/NOT_EVALUATED; never numeric zero,table-specific claims in authoritative_number_registry.json,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_OVERFLOW,EDITABLE_CSV_AND_XLSX_BOUND
thesis_v10,table,18,추가 강건성 결과,docs/manuscript_review_input/석사학위논문_표18_추가_강건성_결과.csv,IMPORTED_EDITABLE_CSV; upstream evidence listed in number registry,c7eca7beb09d53813adf6d809ae31c11919b8b66e52f562c8fc0e85fcde74051,5,explicitly identified in table; repeats are not unique inputs,N/A,textual BLOCKED/UNSUPPORTED/NOT_EVALUATED; never numeric zero,table-specific claims in authoritative_number_registry.json,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_OVERFLOW,EDITABLE_CSV_AND_XLSX_BOUND
thesis_v10,table,19,NO SAFE control,docs/manuscript_review_input/석사학위논문_표19_NO_SAFE_control.csv,IMPORTED_EDITABLE_CSV; upstream evidence listed in number registry,ff7962dc55477ff7f8c54e6079c15a4587c7807feb15e4335b70b1c74f3c8f93,2,definition/category row,N/A,textual BLOCKED/UNSUPPORTED/NOT_EVALUATED; never numeric zero,table-specific claims in authoritative_number_registry.json,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_OVERFLOW,EDITABLE_CSV_AND_XLSX_BOUND
thesis_v10,table,20,안전성 타당성 한계,docs/manuscript_review_input/석사학위논문_표20_안전성_타당성_한계.csv,IMPORTED_EDITABLE_CSV; upstream evidence listed in number registry,a9dbe7ef3a46c82772521c69983d3200915b0c2c13d27c37ad5f0fbf8c458ae8,7,definition/category row,N/A,textual BLOCKED/UNSUPPORTED/NOT_EVALUATED; never numeric zero,table-specific claims in authoritative_number_registry.json,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_OVERFLOW,EDITABLE_CSV_AND_XLSX_BOUND
thesis_v10,table,21,재현성 artifact와 검증 상태,docs/manuscript_review_input/석사학위논문_표21_재현성_artifact와_검증_상태.csv,IMPORTED_EDITABLE_CSV; upstream evidence listed in number registry,20f02f571c687518f3df0b8f1fe0128bf696e5ca267e73187ad777ff73ba6ad8,6,definition/category row,N/A,textual BLOCKED/UNSUPPORTED/NOT_EVALUATED; never numeric zero,table-specific claims in authoritative_number_registry.json,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_OVERFLOW,EDITABLE_CSV_AND_XLSX_BOUND
